,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
43,0,0,0,0,60,1,1,1,1,1,1,1,1,0,2,1,3,1201,4105,0
45,0,0,0,0,44,1,1,2,0,0,0,0,0,1,0,1,0,1289,3348,0
48,1,0,0,0,48,1,1,1,1,0,0,1,1,1,2,1,3,1199,3599,0
49,0,0,1,1,66,1,1,1,1,0,1,1,0,0,2,1,3,915,3625,0
50,0,1,0,0,38,1,1,2,0,1,0,0,1,0,0,1,0,1402,3285,0
52,0,1,1,0,18,1,1,1,1,0,0,1,1,0,0,1,3,1009,1275,0
53,0,1,1,0,71,1,1,2,0,1,0,0,0,0,0,1,3,1217,5113,1
54,0,1,1,1,57,1,0,1,1,1,1,1,0,1,1,1,3,1108,3782,0
56,0,0,1,1,60,1,1,2,1,0,0,0,1,1,1,1,3,1578,5104,0
57,1,1,1,1,63,1,1,2,0,1,1,1,1,1,1,1,0,159,5555,0
58,0,0,1,1,28,1,1,0,2,2,2,2,2,2,2,0,3,395,6314,0
59,0,0,0,0,70,1,1,2,0,0,1,1,1,1,2,1,3,142,5937,0
60,0,0,1,0,42,1,1,2,0,0,1,0,1,1,0,1,0,10,3985,0
61,1,0,0,0,57,1,1,2,0,1,0,0,1,0,0,1,2,1395,4530,0
62,1,0,1,0,70,0,2,1,1,1,1,0,0,0,2,0,2,569,2558,0
64,0,0,0,0,72,1,1,2,0,0,0,0,1,1,0,0,0,1480,6234,1
65,0,0,0,0,23,1,0,1,0,1,0,1,1,1,0,1,0,1117,2086,0
66,1,0,1,0,42,1,1,2,0,1,0,0,0,0,1,1,0,1182,3157,0
67,0,0,0,0,25,1,0,1,0,1,1,1,1,1,2,0,1,1188,2143,0
68,0,0,1,1,46,1,0,0,2,2,2,2,2,2,2,0,2,336,6399,0
71,0,0,1,1,48,1,0,0,2,2,2,2,2,2,1,1,0,341,181,0
72,1,1,1,1,61,1,1,2,1,0,1,1,1,1,2,1,2,217,5563,0
73,1,0,1,1,59,1,1,0,2,2,2,2,2,2,2,1,2,381,785,0
74,0,0,0,1,23,1,0,1,1,0,0,1,0,1,0,1,2,922,1295,0
75,0,1,0,0,52,1,1,2,1,1,1,0,1,1,1,0,0,197,5009,0
76,0,0,0,0,41,1,0,1,0,0,0,0,0,1,1,0,3,776,2339,0
77,0,0,1,1,71,1,0,1,1,1,0,0,0,0,0,0,1,756,4071,0
78,1,1,0,0,24,1,0,1,1,1,0,0,1,1,0,1,0,1106,1742,0
79,0,0,1,1,40,1,1,0,2,2,2,2,2,2,1,1,3,414,397,0
82,0,0,1,0,67,1,0,2,0,0,1,0,0,0,0,1,2,1114,4199,1
83,0,0,0,0,37,1,0,2,0,1,1,1,1,1,0,1,2,70,3682,0
84,0,0,1,0,44,1,0,0,2,2,2,2,2,2,2,1,2,336,6491,0
85,1,0,0,0,72,1,1,2,0,1,0,0,1,1,0,1,3,1571,6364,0
86,0,0,1,0,29,1,0,1,1,0,0,0,1,0,1,1,2,887,1852,0
87,0,0,1,1,43,1,0,0,2,2,2,2,2,2,2,0,2,346,108,0
88,0,0,1,1,41,1,0,0,2,2,2,2,2,2,2,1,1,332,6382,0
89,1,0,1,0,22,0,2,1,0,0,0,0,1,0,0,0,1,477,19,0
90,1,0,1,1,24,1,0,2,0,1,1,0,0,0,0,0,2,1245,2229,0
92,1,0,1,1,63,1,1,1,1,0,1,1,1,1,2,1,1,1279,4717,0
93,0,0,0,0,62,1,1,2,1,1,1,0,1,1,0,1,3,206,5575,0
94,1,0,0,0,70,1,1,2,0,1,1,0,1,1,2,1,2,18,5751,0
96,1,0,1,1,69,1,1,1,1,1,0,1,0,0,1,1,3,966,4018,0
97,1,0,0,0,45,1,0,0,2,2,2,2,2,2,0,0,1,354,252,1
98,1,0,0,0,48,1,0,0,2,2,2,2,2,2,2,0,2,353,203,0
99,0,1,1,0,18,1,0,2,0,1,1,0,1,1,0,1,0,1556,2175,1
102,1,0,0,0,32,1,1,2,0,0,1,1,1,0,1,0,2,1492,3122,0
103,0,1,1,0,63,0,2,1,0,1,1,0,1,0,1,0,2,620,2630,0
104,1,0,1,0,65,1,1,2,0,1,1,1,1,1,2,1,2,188,5833,1
105,1,0,0,0,45,0,2,1,0,0,0,0,0,0,0,0,1,382,1,0
106,0,0,1,1,70,1,1,2,1,1,0,0,1,1,1,1,0,77,5672,0
107,0,0,0,0,26,0,2,1,1,0,0,0,0,0,1,0,1,451,6385,0
108,1,0,0,0,38,1,1,2,0,0,0,0,1,1,1,0,1,1479,3358,0
109,1,0,1,1,70,1,0,0,2,2,2,2,2,2,2,0,3,321,658,0
110,1,0,1,0,51,1,1,2,1,1,0,0,1,0,0,1,0,1526,4391,1
111,0,0,0,0,48,1,0,1,1,0,1,1,0,0,1,0,3,812,2642,0
112,0,0,0,0,38,1,0,2,0,1,1,0,1,0,0,1,0,1430,3380,0
113,0,1,1,0,31,1,1,2,0,0,0,0,0,0,0,1,0,1141,2475,1
114,0,0,1,1,61,0,2,1,0,1,0,1,1,1,2,1,0,755,2967,0
115,1,0,1,1,23,1,0,2,1,1,0,0,1,0,0,0,0,1394,2128,0
116,0,0,0,0,30,0,2,1,1,0,0,0,0,0,2,0,2,465,240,0
118,0,0,0,0,36,1,0,0,2,2,2,2,2,2,2,0,1,346,6160,0
119,1,0,1,1,20,1,1,2,0,1,0,1,0,0,0,1,3,1303,1769,0
120,0,0,1,1,52,1,1,2,0,0,1,0,1,1,1,1,3,1581,4581,0
121,0,0,0,0,56,1,0,0,2,2,2,2,2,2,0,0,1,347,230,0
122,1,0,0,0,23,1,1,2,0,0,0,0,0,0,0,1,0,1099,1931,1
123,0,0,1,1,67,1,0,1,1,0,0,0,0,0,0,0,1,694,3039,0
124,0,0,1,1,34,1,0,0,2,2,2,2,2,2,0,0,1,350,5043,0
125,1,0,0,0,27,1,0,2,1,0,0,1,1,0,2,1,0,1376,2632,0
126,0,1,0,0,20,1,1,2,0,0,1,0,0,0,0,1,0,1165,1755,1
127,1,0,1,0,70,1,1,0,2,2,2,2,2,2,2,1,2,368,1228,0
129,1,1,0,0,69,0,2,1,1,1,0,0,1,1,1,1,0,792,3403,0
131,0,0,1,1,18,0,2,1,1,1,1,0,1,1,0,1,3,821,912,1
132,1,0,0,0,64,1,0,1,0,0,0,1,0,0,2,0,2,691,2837,0
135,0,0,0,0,38,1,1,0,2,2,2,2,2,2,2,1,3,410,348,0
136,0,0,0,0,16,1,0,2,1,0,0,0,0,0,0,1,2,1111,1304,0
137,0,0,1,1,61,1,0,0,2,2,2,2,2,2,2,0,1,337,510,0
138,1,0,0,1,53,1,0,0,2,2,2,2,2,2,2,1,1,325,319,0
140,0,1,1,1,70,1,1,1,1,1,1,1,1,1,2,1,3,1358,5173,0
141,0,0,0,0,71,1,1,1,1,0,0,1,0,1,0,0,0,1042,4664,1
142,0,0,1,0,58,1,1,2,0,1,0,0,1,1,2,1,2,21,4894,0
143,1,0,0,0,61,1,1,2,1,1,0,0,0,0,1,1,3,1285,4419,0
144,1,1,1,0,69,1,1,0,2,2,2,2,2,2,2,0,2,375,1278,0
145,0,0,1,1,62,1,1,2,1,1,0,1,1,0,2,1,3,1566,5168,0
146,1,0,0,0,23,1,0,0,2,2,2,2,2,2,1,0,1,325,4983,0
148,1,0,0,1,24,1,0,1,0,1,1,0,1,0,1,0,3,922,1528,0
150,0,0,1,1,71,1,0,1,0,0,0,1,1,1,0,1,0,990,4669,0
151,1,0,0,0,67,1,1,2,0,0,0,0,1,1,0,0,1,1492,5236,1
152,0,0,1,1,68,1,1,2,1,1,1,0,1,1,1,1,3,153,5988,0
153,1,0,1,1,59,1,0,1,1,1,1,1,1,1,2,0,0,1321,4370,0
154,0,0,1,1,56,1,0,0,2,2,2,2,2,2,0,0,1,327,250,0
156,0,0,0,0,15,1,1,2,0,0,0,0,1,0,0,1,2,1282,1378,0
157,1,0,1,1,15,1,0,0,2,2,2,2,2,2,1,0,1,336,3583,0
161,0,0,1,0,13,1,1,2,1,0,0,0,0,0,0,0,0,1250,1047,1
163,1,0,0,0,49,1,1,1,0,1,1,1,0,1,2,1,2,1089,3383,0
165,1,0,1,0,66,1,0,0,2,2,2,2,2,2,2,0,1,331,659,0
166,0,0,0,0,34,1,0,2,0,0,0,0,0,0,0,1,2,1037,2373,1
167,1,0,1,0,70,1,1,1,1,1,1,1,1,1,2,1,2,1378,5071,0
168,1,1,1,0,54,0,2,1,0,1,1,0,0,1,0,1,0,615,2300,1
170,1,0,1,0,38,1,0,2,1,0,1,1,0,0,1,1,2,1284,3064,0
173,0,0,1,0,49,1,0,2,0,0,1,0,1,1,1,1,2,1489,4239,1
174,0,0,0,0,26,1,0,0,2,2,2,2,2,2,1,0,2,344,5230,0
175,0,0,1,0,28,1,1,0,2,2,2,2,2,2,0,0,0,390,5917,0
177,0,1,0,0,67,1,0,2,1,0,0,0,0,0,0,0,2,1140,4260,1
179,1,0,1,0,58,1,0,0,2,2,2,2,2,2,1,1,3,344,459,0
182,1,0,0,0,71,1,1,2,0,0,0,0,0,1,0,0,2,1289,5278,1
183,1,0,1,1,27,1,0,1,1,0,1,0,1,1,1,0,3,1106,2104,0
186,1,0,0,0,13,1,0,1,0,1,0,0,0,0,0,1,1,716,48,0
187,1,0,0,0,23,0,2,1,0,0,0,1,0,0,0,0,0,456,6099,0
189,0,0,1,0,35,1,1,1,0,1,0,0,0,0,0,0,3,795,2015,0
190,1,0,1,1,38,1,1,1,1,0,0,1,0,1,1,1,3,1056,2757,0
191,1,0,1,0,56,1,0,2,0,1,1,0,0,1,0,1,0,1417,4440,1
192,0,0,1,1,66,1,0,0,2,2,2,2,2,2,2,0,2,328,678,0
193,0,0,1,1,70,1,1,2,1,1,1,0,1,1,2,0,3,182,6076,0
194,1,0,1,1,55,1,0,0,2,2,2,2,2,2,2,0,3,319,359,0
195,0,0,1,0,13,1,0,2,1,1,0,1,1,0,0,1,0,1522,1502,0
196,1,0,1,1,17,1,1,0,2,2,2,2,2,2,2,1,2,378,4822,0
197,1,0,0,0,55,1,1,2,0,1,1,1,1,1,0,1,0,212,5218,0
198,1,0,1,1,70,1,1,2,0,1,1,1,1,1,2,1,2,225,6038,0
200,0,0,1,0,20,1,0,2,1,0,0,1,1,1,1,1,3,36,2333,0
202,1,0,1,1,69,1,1,2,1,0,1,0,1,1,2,0,0,105,5730,0
204,1,0,0,0,39,1,0,2,0,0,0,0,0,0,0,0,3,996,2552,0
205,0,0,0,0,27,1,0,2,0,1,0,1,0,0,1,1,2,1203,2336,0
206,1,0,1,1,70,0,2,1,1,1,1,1,0,1,2,1,3,772,3571,0
209,1,0,1,0,61,1,0,2,0,1,1,1,1,1,1,1,3,45,5291,0
212,1,0,0,1,58,1,0,0,2,2,2,2,2,2,2,0,1,328,237,0
213,0,0,1,1,22,1,0,0,2,2,2,2,2,2,1,0,0,333,4493,0
214,1,1,1,0,16,1,1,2,0,0,0,0,0,1,0,0,0,1335,1580,0
215,0,0,1,0,53,0,2,1,1,1,1,0,1,1,0,1,2,824,2976,0
216,1,0,1,1,70,0,2,1,1,1,1,1,0,0,2,0,3,614,2727,0
217,1,0,1,0,63,0,2,1,1,1,1,1,1,0,2,1,2,795,3250,0
218,1,0,1,1,62,1,1,1,0,1,1,1,1,1,2,1,2,1283,4450,0
219,0,0,0,0,71,1,0,2,0,0,0,0,1,0,0,1,2,1204,5063,0
220,0,0,0,0,34,1,0,2,0,0,0,0,0,0,0,1,0,1022,2329,1
221,0,0,1,0,69,1,1,0,2,2,2,2,2,2,2,0,2,391,1390,0
223,1,0,1,0,34,1,0,1,0,0,0,1,0,0,0,0,1,681,1326,1
225,1,0,0,0,17,0,2,1,1,0,0,0,1,1,1,1,1,692,525,0
226,0,0,1,1,25,1,0,1,1,0,1,1,1,1,1,1,1,1227,2198,0
228,1,0,0,0,24,1,1,2,0,0,0,1,0,1,0,1,3,1395,2365,0
229,0,0,1,1,42,1,1,1,1,1,0,1,1,1,2,1,3,1305,3495,0
230,1,0,0,0,50,1,1,2,1,1,0,1,1,1,2,1,3,150,4756,0
231,1,0,0,0,46,1,0,2,1,1,0,1,0,1,0,1,3,1462,4015,0
233,0,0,0,0,70,1,0,0,2,2,2,2,2,2,2,0,3,338,1016,0
234,0,0,0,0,22,1,1,0,2,2,2,2,2,2,0,0,0,399,5529,0
240,0,0,0,0,70,1,1,1,0,1,1,1,1,1,2,0,2,1331,5128,0
241,1,0,0,0,70,1,1,2,0,1,1,1,1,1,2,0,2,173,5946,0
242,0,0,1,1,36,1,0,1,1,0,0,1,1,1,1,1,3,1105,2771,0
243,0,1,1,0,62,1,0,2,1,1,1,0,0,1,0,0,0,1480,4999,0
245,1,1,0,0,34,1,0,2,1,0,0,0,0,0,0,0,0,1118,2376,0
246,1,0,0,0,36,1,1,1,0,0,1,0,0,1,1,0,1,932,2187,0
249,1,0,0,0,37,1,1,2,1,1,1,0,0,1,1,1,0,1565,3653,0
250,0,0,1,0,47,1,0,2,1,1,1,0,1,0,1,1,0,1462,3921,0
253,1,0,0,1,26,1,1,1,0,1,1,1,1,1,1,0,3,1273,2280,0
255,0,0,1,1,64,0,2,1,0,1,1,1,1,1,2,1,0,838,3494,0
256,0,0,1,1,58,1,1,2,1,1,1,1,1,1,2,0,3,266,5524,0
257,1,0,0,0,46,1,1,2,1,1,1,1,1,1,1,0,3,253,4775,0
259,0,1,1,0,22,0,2,1,1,0,1,0,0,1,0,1,0,609,416,0
260,1,1,0,0,23,0,2,1,0,0,1,0,0,1,0,1,0,564,583,1
262,1,1,1,0,53,1,1,2,0,1,0,0,0,1,0,1,0,1394,4178,0
263,0,0,0,0,25,0,2,1,1,1,0,1,0,1,2,1,2,677,942,0
264,0,0,1,0,40,1,1,2,1,1,1,1,1,1,1,0,1,239,4263,0
265,0,0,1,1,58,1,1,1,1,1,1,1,1,1,2,0,1,1359,4589,0
266,1,0,0,0,46,1,1,0,2,2,2,2,2,2,2,0,2,394,363,0
268,1,0,0,0,55,1,0,0,2,2,2,2,2,2,2,0,1,320,196,1
269,0,0,1,0,69,1,1,0,2,2,2,2,2,2,2,1,3,381,1241,0
271,1,0,1,0,53,1,0,1,1,1,0,1,0,0,2,1,0,842,2987,0
273,1,1,1,0,13,1,1,2,0,1,0,1,1,1,0,0,0,135,1790,0
275,1,0,1,0,45,1,1,2,0,1,0,1,0,0,0,1,0,1307,3422,1
276,0,0,1,0,48,1,1,2,0,1,1,0,1,1,0,1,0,95,4658,1
277,1,1,1,0,14,1,0,1,1,1,0,0,0,1,0,1,2,931,615,0
279,0,0,0,0,45,1,0,1,0,1,0,0,0,0,0,0,2,691,2089,0
280,0,0,0,0,56,1,0,1,1,1,0,0,0,0,0,0,1,766,2803,0
283,0,0,0,0,65,1,1,1,1,0,0,0,0,0,0,0,1,752,3176,0
285,0,0,0,0,15,1,1,2,0,0,0,0,0,0,1,1,3,1131,1316,0
286,0,0,0,0,13,1,0,1,0,0,0,0,0,0,0,1,0,596,6383,0
288,1,1,0,0,71,1,0,2,0,1,0,0,0,0,0,1,0,1101,4955,1
290,1,1,0,0,17,1,1,2,0,0,0,0,0,0,0,1,0,1133,1213,1
291,1,0,0,0,29,1,0,1,1,1,1,0,0,0,1,0,1,871,1655,0
292,1,0,1,1,16,1,0,2,0,1,1,1,0,0,1,0,1,1335,1544,0
293,0,1,0,0,56,1,0,2,0,0,0,0,1,1,0,1,0,1384,4686,0
296,0,0,1,1,69,1,0,2,0,0,1,0,0,0,2,0,0,1132,4517,0
297,1,1,1,0,29,1,1,2,0,0,1,0,1,1,0,1,0,16,2977,0
298,1,0,1,1,35,1,1,1,0,0,1,0,1,1,0,1,0,1102,2613,0
300,1,0,0,0,16,1,0,1,0,0,0,0,1,1,1,1,2,930,922,0
301,0,1,0,0,34,1,1,2,0,0,0,0,1,1,0,1,0,1501,3387,1
302,1,0,0,0,34,1,0,2,0,0,1,1,0,1,0,1,0,1405,3083,0
303,0,0,1,1,65,0,2,1,0,1,1,1,1,1,2,0,3,853,3498,0
304,1,0,0,1,32,1,1,2,0,1,0,0,0,0,0,1,1,1241,2732,0
305,1,0,1,1,48,1,1,0,2,2,2,2,2,2,2,0,1,392,417,0
306,1,1,1,0,26,1,1,2,0,0,0,0,0,0,0,1,0,1109,1943,1
307,1,0,1,1,22,1,0,1,0,0,1,1,1,1,2,0,1,1122,1683,0
308,1,1,1,1,32,1,1,2,0,1,0,0,1,1,0,0,0,23,3220,0
309,1,0,0,1,43,1,1,1,1,0,1,0,1,1,1,1,3,1179,3173,0
311,0,0,0,0,15,1,0,2,1,0,0,1,0,1,0,1,0,1378,1460,0
312,0,0,0,0,38,1,1,2,1,1,1,1,1,1,2,0,3,265,4134,0
313,0,1,1,0,45,1,0,2,0,0,0,0,0,0,0,1,0,1006,2954,0
314,1,0,0,0,45,1,0,2,0,0,0,0,1,0,0,1,0,1216,3547,1
315,1,0,1,1,47,1,1,2,1,1,0,1,1,1,1,0,3,189,4697,0
316,1,0,0,0,69,1,0,0,2,2,2,2,2,2,2,1,3,331,643,0
317,0,0,1,1,32,1,0,1,1,1,0,1,1,1,1,0,3,1210,2658,1
318,1,1,1,0,17,1,0,2,0,0,1,0,1,1,0,1,0,1455,1867,1
319,1,0,1,0,29,1,1,2,0,0,0,1,1,0,0,1,3,1427,2813,0
320,0,1,0,0,50,1,1,1,1,1,0,1,1,1,1,0,2,1251,3700,1
321,0,0,1,1,70,0,2,1,0,1,1,1,1,1,2,1,0,847,3633,0
323,0,0,1,1,72,1,0,1,1,0,0,0,0,0,1,0,1,652,3600,0
324,1,0,0,0,66,0,2,1,1,1,0,1,1,1,2,1,2,848,3568,0
325,0,0,1,0,48,1,1,2,0,1,0,1,1,1,0,1,3,50,4322,0
328,0,1,1,1,21,0,2,1,0,0,0,0,1,0,0,1,0,510,6494,0
330,0,0,1,1,29,1,0,0,2,2,2,2,2,2,2,1,1,330,5709,0
331,0,0,0,0,71,1,0,0,2,2,2,2,2,2,1,1,1,317,1070,0
332,1,0,0,0,41,1,1,2,0,1,1,0,1,0,1,1,3,1490,3761,0
333,0,0,0,0,67,1,1,2,0,0,0,0,0,0,0,1,0,1088,4306,1
335,1,0,1,1,65,1,1,1,0,1,1,1,0,1,1,1,2,1127,4426,1
336,0,0,0,0,38,1,1,2,0,1,1,0,1,1,2,1,0,86,4031,1
337,0,0,0,0,65,1,1,1,1,1,1,1,1,1,2,1,0,1360,5017,0
338,0,0,0,0,30,1,0,2,0,1,0,0,1,1,0,1,3,1488,3087,0
339,1,0,1,0,60,1,1,2,0,1,1,0,1,1,0,1,0,63,5270,1
340,0,1,0,0,26,1,0,1,0,1,0,1,0,0,0,0,2,756,1384,0
341,0,0,1,0,69,1,1,1,1,1,1,1,1,1,2,0,3,1314,5054,0
342,0,0,1,1,63,1,1,1,1,1,1,0,0,0,0,1,2,972,3834,0
343,1,0,0,0,60,1,0,0,2,2,2,2,2,2,1,0,1,343,596,0
344,0,0,0,1,36,1,0,0,2,2,2,2,2,2,1,1,3,338,6250,0
347,0,0,1,0,68,1,0,0,2,2,2,2,2,2,2,0,2,322,558,0
348,0,0,0,0,16,0,2,1,0,0,0,0,1,1,0,1,0,608,6523,0
349,0,1,1,0,61,1,0,2,1,1,1,0,0,1,1,0,2,1531,5175,0
350,1,0,1,1,31,1,1,1,1,0,1,1,0,0,2,1,3,895,1916,0
352,0,1,0,0,67,1,0,2,0,0,0,0,1,1,0,1,0,1380,4739,0
353,1,0,1,1,34,1,1,2,0,1,1,0,0,0,0,1,2,1295,3201,1
354,0,1,0,0,14,0,2,1,1,0,0,0,1,0,0,1,0,567,6180,1
357,1,0,1,0,61,1,1,2,0,1,0,1,1,1,2,1,0,99,5392,0
358,1,1,1,0,20,0,2,1,1,0,0,0,0,0,0,0,3,461,6040,1
359,1,0,1,1,37,1,1,2,1,0,0,0,1,1,1,0,0,1533,3433,0
360,1,0,0,1,45,1,0,0,2,2,2,2,2,2,0,0,1,337,6133,0
361,0,0,0,0,36,1,0,2,0,1,0,1,1,1,2,1,2,1562,3385,0
362,1,0,1,0,54,1,0,1,0,0,1,0,0,0,1,0,3,686,2484,0
363,0,0,0,0,42,1,0,0,2,2,2,2,2,2,2,1,1,344,6432,0
365,1,0,0,0,45,1,0,2,0,0,1,0,1,1,0,0,2,1521,4173,1
366,1,0,1,0,16,1,0,1,1,0,0,0,0,1,0,1,2,846,742,0
368,1,0,1,0,69,1,1,2,0,0,1,0,1,1,1,1,3,1559,5482,0
369,1,0,1,1,70,1,1,2,1,1,1,1,1,1,2,1,3,229,6074,0
370,1,0,1,1,27,1,0,0,2,2,2,2,2,2,1,0,1,345,5456,0
372,1,0,0,1,17,0,2,1,1,0,0,1,0,0,2,0,1,508,6136,0
373,0,0,1,1,52,1,1,2,0,1,1,1,0,1,1,1,3,1580,4643,0
374,1,0,0,0,31,1,0,2,0,1,0,0,1,1,0,1,3,1514,3150,0
375,0,0,0,0,38,1,1,1,0,1,1,1,1,1,1,0,3,1301,3162,0
377,0,0,1,0,18,1,1,2,0,0,1,1,1,1,0,1,2,93,2222,1
378,0,0,0,0,58,1,1,1,1,1,1,1,1,1,2,0,0,1390,4438,0
380,0,0,1,0,36,1,0,2,0,1,1,1,0,0,1,1,2,1323,2895,0
382,1,1,1,1,70,0,2,1,1,1,1,1,1,1,2,1,2,928,4002,0
384,1,0,0,0,43,1,1,2,0,1,1,0,1,1,2,1,2,152,4285,0
386,0,1,1,0,51,1,1,2,0,1,1,0,0,0,0,1,0,1308,4120,1
387,0,0,0,0,37,0,2,1,1,1,1,1,0,1,1,1,0,758,1984,0
388,1,0,0,0,39,1,1,2,0,0,1,0,0,1,0,1,1,1405,3475,0
390,0,0,0,0,20,1,1,2,0,0,0,0,1,1,0,1,2,1504,2243,0
391,1,1,1,0,20,1,1,1,0,1,1,1,1,1,0,1,2,1295,1945,0
394,0,1,1,0,37,1,1,2,0,0,0,0,1,1,0,1,0,1493,3370,0
395,0,0,0,0,63,1,1,1,1,1,1,1,1,1,2,1,3,1398,4887,0
396,1,1,1,0,27,1,1,2,1,0,1,1,1,1,0,1,2,186,3188,0
397,0,0,0,0,28,1,0,2,0,1,0,0,0,0,0,1,3,1090,2181,1
398,1,1,0,0,27,0,2,1,0,0,1,1,1,1,0,1,0,755,1353,0
399,0,0,1,1,16,1,0,0,2,2,2,2,2,2,1,0,1,334,3545,0
400,0,0,0,0,26,1,0,0,2,2,2,2,2,2,1,0,2,328,5062,0
402,1,0,1,1,66,1,1,2,0,0,1,0,1,1,0,1,3,1574,5523,1
403,0,0,1,0,65,1,0,1,1,0,0,1,0,0,1,0,2,781,3294,0
404,1,0,0,0,13,1,0,0,2,2,2,2,2,2,2,1,1,327,3581,0
405,1,0,0,0,70,1,0,0,2,2,2,2,2,2,2,1,3,329,862,0
406,1,0,1,1,57,1,1,2,1,0,1,0,1,0,1,1,2,1500,4792,0
407,1,1,1,1,26,1,0,2,0,1,0,0,1,1,0,1,1,1471,2469,0
410,1,1,0,0,23,1,1,2,0,1,0,0,0,0,0,1,0,1231,1965,1
411,0,0,1,0,41,1,1,0,2,2,2,2,2,2,1,1,2,385,126,0
412,0,0,1,0,22,1,1,2,0,0,0,0,0,0,0,1,0,1110,1765,0
413,1,0,0,0,47,1,1,2,0,1,1,1,0,0,0,1,0,1346,3795,0
414,0,1,1,0,43,1,0,2,0,0,0,0,0,0,0,1,2,1032,3070,0
416,1,0,1,0,68,1,1,2,0,1,1,1,0,1,2,1,2,1560,5414,0
417,0,0,1,1,35,1,1,0,2,2,2,2,2,2,2,1,1,392,53,0
418,0,0,1,1,15,1,0,2,0,1,0,0,0,1,0,0,0,1265,1406,1
420,0,0,1,1,45,1,1,0,2,2,2,2,2,2,0,1,1,382,584,0
421,0,0,0,0,67,1,0,2,0,0,0,0,0,0,0,1,2,1016,4328,0
422,1,0,0,1,22,1,1,2,0,1,1,1,0,1,1,0,3,11,2446,0
423,1,0,1,1,39,1,1,0,2,2,2,2,2,2,1,0,1,410,214,0
425,0,1,1,0,51,1,1,1,0,0,0,0,0,0,0,0,2,713,2450,0
426,1,1,1,0,48,1,1,2,0,1,1,0,1,1,1,1,2,96,4477,0
429,0,0,1,0,65,1,1,1,1,0,0,1,0,0,1,0,2,815,3399,0
430,0,0,1,1,58,1,0,0,2,2,2,2,2,2,0,1,1,321,340,1
431,0,0,1,1,70,0,2,1,1,1,1,1,1,1,2,1,3,936,4044,0
434,1,0,1,0,36,1,0,0,2,2,2,2,2,2,2,1,0,328,6319,0
435,0,0,0,0,19,0,2,1,0,0,1,1,1,0,0,1,3,598,343,0
436,1,0,1,0,30,1,0,0,2,2,2,2,2,2,1,0,2,350,5624,0
437,1,0,1,1,70,1,1,2,1,1,1,1,1,1,2,1,3,249,6196,0
438,1,0,1,0,29,1,1,2,0,0,0,1,0,1,0,1,2,1394,2744,0
441,0,1,0,0,44,1,1,2,1,0,0,0,1,1,0,0,3,30,4290,0
442,0,0,1,0,50,1,1,2,1,1,1,1,1,1,1,1,1,258,4944,0
444,0,0,1,0,30,1,0,2,0,0,0,0,0,1,0,0,0,1212,2539,0
